geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0019221	cytokine-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0019221	705	14	0.888442150744119	15.757919621749409	4.6629367034256575e-15	4.239075757084265e-11	2833;3383;3429;3551;5295;6175;6373;6772;6777;7316;9978;25939;57506;84166	PIK3R1;NLRC5;IKBKB;SAMHD1;CXCL11;CXCR3;MAVS;ICAM1;RPLP0;IFI27;UBC;STAT1;STAT5B;RBX1
GO:0071345	cellular response to cytokine stimulus	http://amigo.geneontology.org/amigo/term/GO:0071345	1015	14	1.279104656745079	10.945155993431857	6.901146321069973e-13	3.1369160602423563e-9	2833;3383;3429;3551;5295;6175;6373;6772;6777;7316;9978;25939;57506;84166	PIK3R1;NLRC5;IKBKB;SAMHD1;CXCL11;CXCR3;MAVS;ICAM1;RPLP0;IFI27;UBC;STAT1;STAT5B;RBX1
GO:0034097	response to cytokine	http://amigo.geneontology.org/amigo/term/GO:0034097	1100	14	1.3862217954872778	10.099393939393941	2.0681234502717416e-12	6.267103428806801e-9	2833;3383;3429;3551;5295;6175;6373;6772;6777;7316;9978;25939;57506;84166	PIK3R1;NLRC5;IKBKB;SAMHD1;CXCL11;CXCR3;MAVS;ICAM1;RPLP0;IFI27;UBC;STAT1;STAT5B;RBX1
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	1919	16	2.4183269323091694	6.616144321199037	1.0427991803396708e-11	2.3700218371169868e-8	60;2833;3383;3429;3551;5295;6373;6772;6777;7316;10075;25939;27040;57506;79671;84166	PIK3R1;LAT;NLRC5;IKBKB;SAMHD1;CXCL11;CXCR3;NLRX1;MAVS;ICAM1;IFI27;UBC;STAT1;STAT5B;HUWE1;ACTB
GO:0050776	regulation of immune response	http://amigo.geneontology.org/amigo/term/GO:0050776	909	12	1.145523283725396	10.475561841898477	1.2038581242990176e-10	2.1888548416004738e-7	60;3383;3551;5295;6772;6777;7316;25939;27040;57506;79671;84166	PIK3R1;LAT;NLRC5;IKBKB;SAMHD1;NLRX1;MAVS;ICAM1;UBC;STAT1;STAT5B;ACTB
GO:0006952	defense response	http://amigo.geneontology.org/amigo/term/GO:0006952	1518	14	1.9129860777724434	7.318401405357927	1.6114221068619372e-10	2.441573062246979e-7	2833;3383;3429;3551;6373;6772;6777;7316;9734;25939;27040;57506;79671;84166	LAT;NLRC5;IKBKB;HDAC9;SAMHD1;CXCL11;CXCR3;NLRX1;MAVS;ICAM1;IFI27;UBC;STAT1;STAT5B
GO:0002682	regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002682	1400	13	1.7642822851656264	7.36843537414966	1.0556839846742605e-9	1.3710318720962431e-6	60;2833;3383;3551;5295;6772;6777;7316;25939;27040;57506;79671;84166	PIK3R1;LAT;NLRC5;IKBKB;SAMHD1;CXCR3;NLRX1;MAVS;ICAM1;UBC;STAT1;STAT5B;ACTB
GO:0002252	immune effector process	http://amigo.geneontology.org/amigo/term/GO:0002252	1141	12	1.4378900624099855	8.345561537498435	1.6542076597403366e-9	1.879800229337425e-6	60;3383;3429;5295;6772;6777;10075;25939;27040;57506;79671;84166	PIK3R1;LAT;NLRC5;SAMHD1;NLRX1;MAVS;ICAM1;IFI27;STAT1;STAT5B;HUWE1;ACTB
GO:0002684	positive regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002684	979	11	1.2337373979836772	8.915997859818086	5.5717301883362325e-9	5.628066571351632e-6	60;3383;3551;5295;6772;6777;7316;27040;57506;79671;84166	PIK3R1;LAT;NLRC5;IKBKB;NLRX1;MAVS;ICAM1;UBC;STAT1;STAT5B;ACTB
GO:0045088	regulation of innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045088	369	8	0.46501440230436863	17.203768228158474	8.479439816966305e-9	7.70865873760407e-6	3551;6772;6777;7316;25939;57506;79671;84166	NLRC5;IKBKB;SAMHD1;NLRX1;MAVS;UBC;STAT1;STAT5B
